t, n, k, alg, weight, ms
1.5,0,10,greedy,5843.523932336806,0.440845
1.5,0,10,wspd,5843.523932336806,0.721348
1.5,20,10,greedy,26187.91162157534,29.035387
1.5,20,10,wspd,219567.26896130724,20.764129
1.5,40,10,greedy,45642.516296858805,83.76903
1.5,40,10,wspd,1328761.3757203305,92.460561
1.5,60,10,greedy,86971.54049211982,227.842819
1.5,60,10,wspd,2506552.9846187686,254.0643
1.5,80,10,greedy,131460.27170712504,668.642797
1.5,80,10,wspd,5958044.38175754,775.290591
1.5,100,10,greedy,203982.71481577712,1755.886787
1.5,100,10,wspd,12181261.137655448,2395.867005
1.5,120,10,greedy,268815.8494090026,3294.367597
1.5,120,10,wspd,16167384.107568635,4209.873445
1.5,140,10,greedy,382124.5543042382,6644.01655
1.5,140,10,wspd,23979640.492489293,6602.714102
1.5,160,10,greedy,373560.78284248663,9734.138454
1.5,160,10,wspd,26286430.920785014,8494.614694
1.5,180,10,greedy,466829.823787391,11496.643453
1.5,180,10,wspd,36445988.918318726,14398.605671
1.5,200,10,greedy,495322.66004849295,25927.763214
1.5,200,10,wspd,47733519.10526126,23628.859414
1.5,220,10,greedy,569914.4666492078,46786.430665
1.5,220,10,wspd,71841610.42322585,47338.461869
1.5,240,10,greedy,653022.2260981909,69299.714315
1.5,240,10,wspd,72192258.41082294,52512.939059
1.5,260,10,greedy,722515.2720133417,72019.395649
1.5,260,10,wspd,70071589.9530286,55600.919842
1.5,280,10,greedy,843827.4226192791,96207.130491
1.5,280,10,wspd,68120038.94427867,61412.409136
1.5,300,10,greedy,1018464.0633659769,134761.858137
1.5,300,10,wspd,93534754.63212463,104873.963793
1.5,320,10,greedy,991148.8665416113,146196.355865
1.5,320,10,wspd,82473396.67843008,93961.355467
1.5,340,10,greedy,1120739.436125747,171194.157785
1.5,340,10,wspd,102355380.30199869,128614.777654
1.5,360,10,greedy,1168699.841561386,208808.907623
1.5,360,10,wspd,99339574.92896876,131797.408568
1.5,380,10,greedy,1285275.4903722403,308282.698764
1.5,380,10,wspd,160708490.34665814,272854.397346
1.5,400,10,greedy,1313635.4354225064,416641.343154
1.5,400,10,wspd,149900128.54077956,238915.351089
1.5,420,10,greedy,1487574.7132058903,431700.308774
